Package	Description	Updated_Date
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
confindr	Detect intra- and inter-species bacterial contamination in NGS reads	2023-06-11
dfam	The Dfam database is a collection of Repetitive DNA element sequence alignments hidden Markov models (HMMs) and matches lists for complete Eukaryote genomes	2023-06-08
metachip	HGT detection pipeline	2023-06-06
scramble	Soft Clipped Read Alignment Mapper	2023-06-01
chorus2	A pipeline to select oligonucleotides for fluorescence in situ hbridization (Oligo-FISH).	2023-05-31
amap	AMAP is a multiple sequence alignment program based on sequence annealing.	2023-05-31
r-dowser	Provides a set of functions for inferring visualizing and analyzing B cell phylogenetic trees. Provides methods to 1) reconstruct unmutated ancestral sequences 2) build B cell phylogenetic trees using multiple methods 3) visualize trees with metadata at the tips 4) reconstruct intermediate sequences 5) detect biased ancestor-descendant relationships among metadata types Workflow examples available at documentation site (see URL). Citations: Hoehn et al (2020) <doi:10.1101/2020.05.30.124446> Hoehn et al (2021) <doi:10.1101/2021.01.06.425648>.	2023-05-31
r-catools	Contains several basic utility functions including: moving (rolling running) window statistic functions read/write for GIF and ENVI binary files fast calculation of AUC LogitBoost classifier base64 encoder/decoder round-off-error-free sum and cumsum etc.	2023-06-16
